"trans_id","lang","translation"
"自動車学校前(2)","ja-Hrkt","じどうしゃがっこうまえ"
"南佐賀(2)","ja","南佐賀(2)"
"南佐賀(2)","ja-Hrkt","みなみさが"
"東高校前(2)","ja","東高校前(2)"
"東高校前(2)","ja-Hrkt","ひがしこうこうまえ"
"千々岩(2)","ja","千々岩(2)"
"千々岩(2)","ja-Hrkt","ちぢいわ"
"光法西(2)","ja","光法西(2)"
"光法西(2)","ja-Hrkt","みつのりにし"
"光法(2)","ja","光法(2)"
"光法(2)","ja-Hrkt","みつのり"
"山領北(2)","ja","山領北(2)"
"山領北(2)","ja-Hrkt","やまりょうきた"
"山領(2)","ja","山領(2)"
"山領(2)","ja-Hrkt","やまりょう"
"野町(2)","ja","野町(2)"
"野町(2)","ja-Hrkt","のまち"
"小杭(2)","ja","小杭(2)"
"小杭(2)","ja-Hrkt","おぐい"
"諸富支所前(2)","ja","諸富支所前(2)"
"諸富支所前(2)","ja-Hrkt","もろどみししょまえ"
"諸富橋(2)","ja","諸富橋(2)"
"諸富橋(2)","ja-Hrkt","もろどみばし"
"昇開橋前(2)","ja","昇開橋前(2)"
"昇開橋前(2)","ja-Hrkt","しょうかいきょうまえ"
"石塚(2)","ja","石塚(2)"
"石塚(2)","ja-Hrkt","いしづか"
"浮盃(2)","ja","浮盃(2)"
"浮盃(2)","ja-Hrkt","ぶばい"
"寺井橋(2)","ja","寺井橋(2)"
"寺井橋(2)","ja-Hrkt","てらいばし"
"上下角","ja","上下角"
"上下角","ja-Hrkt","じょうげかど"
"佐野常民記念館入口(2)","ja","佐野常民記念館入口(2)"
"佐野常民記念館入口(2)","ja-Hrkt","さのつねたみきねんかんいりぐち"
"上早(2)","ja","上早(2)"
"上早(2)","ja-Hrkt","かみはや"
"中川副小学校前(2)","ja","中川副小学校前(2)"
"中川副小学校前(2)","ja-Hrkt","なかかわそえしょうがっこうまえ"
"早津江","ja","早津江"
"早津江","ja-Hrkt","はやつえ"
"中早","ja","中早"
"中早","ja-Hrkt","なかはや"
"中川副小学校前(1)","ja","中川副小学校前(1)"
"中川副小学校前(1)","ja-Hrkt","なかかわそえしょうがっこうまえ"
"上早(1)","ja","上早(1)"
"上早(1)","ja-Hrkt","かみはや"
"佐野常民記念館入口(1)","ja","佐野常民記念館入口(1)"
"佐野常民記念館入口(1)","ja-Hrkt","さのつねたみきねんかんいりぐち"
"寺井橋(1)","ja","寺井橋(1)"
"寺井橋(1)","ja-Hrkt","てらいばし"
"浮盃(1)","ja","浮盃(1)"
"浮盃(1)","ja-Hrkt","ぶばい"
"石塚(1)","ja","石塚(1)"
"石塚(1)","ja-Hrkt","いしづか"
"昇開橋前(1)","ja","昇開橋前(1)"
"昇開橋前(1)","ja-Hrkt","しょうかいきょうまえ"
"諸富橋(1)","ja","諸富橋(1)"
"諸富橋(1)","ja-Hrkt","もろどみばし"
"諸富支所前(1)","ja","諸富支所前(1)"
"諸富支所前(1)","ja-Hrkt","もろどみししょまえ"
"小杭(1)","ja","小杭(1)"
"小杭(1)","ja-Hrkt","おぐい"
"野町(1)","ja","野町(1)"
"野町(1)","ja-Hrkt","のまち"
"山領(1)","ja","山領(1)"
"山領(1)","ja-Hrkt","やまりょう"
"山領北(1)","ja","山領北(1)"
"山領北(1)","ja-Hrkt","やまりょうきた"
"光法(1)","ja","光法(1)"
"光法(1)","ja-Hrkt","みつのり"
"光法西(1)","ja","光法西(1)"
"光法西(1)","ja-Hrkt","みつのりにし"
"千々岩(1)","ja","千々岩(1)"
"千々岩(1)","ja-Hrkt","ちぢいわ"
"東高校前(1)","ja","東高校前(1)"
"東高校前(1)","ja-Hrkt","ひがしこうこうまえ"
"南佐賀(1)","ja","南佐賀(1)"
"南佐賀(1)","ja-Hrkt","みなみさが"
"自動車学校前(1)","ja","自動車学校前(1)"
"自動車学校前(1)","ja-Hrkt","じどうしゃがっこうまえ"
"大崎(2)","ja","大崎(2)"
"大崎(2)","ja-Hrkt","おおさき"
"水ヶ江(2)","ja","水ヶ江(2)"
"水ヶ江(2)","ja-Hrkt","みずがえ"
"朝日町(1)","ja","朝日町(1)"
"朝日町(1)","ja-Hrkt","あさひまち"
"安住団地入口(2)","ja","安住団地入口(2)"
"安住団地入口(2)","ja-Hrkt","あんじゅうだんちいりぐち"
"武藤(2)","ja","武藤(2)"
"武藤(2)","ja-Hrkt","たけふじ"
"中原眼科前(2)","ja","中原眼科前(2)"
"中原眼科前(2)","ja-Hrkt","なかはらがんかまえ"
"北川副小西(2)","ja","北川副小西(2)"
"北川副小西(2)","ja-Hrkt","きたかわそえしょうにし"
"北川副公民館前(2)","ja","北川副公民館前(2)"
"北川副公民館前(2)","ja-Hrkt","きたかわそえこうみんかんまえ"
"江上(2)","ja","江上(2)"
"江上(2)","ja-Hrkt","えがみ"
"増田宿(2)","ja","増田宿(2)"
"増田宿(2)","ja-Hrkt","ますだしゅく"
"光法団地前(2)","ja","光法団地前(2)"
"光法団地前(2)","ja-Hrkt","みつのりだんちまえ"
"光法北(2)","ja","光法北(2)"
"光法北(2)","ja-Hrkt","みつのりきた"
"諸富橋北(2)","ja","諸富橋北(2)"
"諸富橋北(2)","ja-Hrkt","もろどみばしきた"
"味の素東門(2)","ja","味の素東門(2)"
"味の素東門(2)","ja-Hrkt","あじのもとひがしもん"
"徳富大橋(2)","ja","徳富大橋(2)"
"徳富大橋(2)","ja-Hrkt","とくどみおおはし"
"徳富(2)","ja","徳富(2)"
"徳富(2)","ja-Hrkt","とくどみ"
"橋津","ja","橋津"
"橋津","ja-Hrkt","はしづ"
"徳富(1)","ja","徳富(1)"
"徳富(1)","ja-Hrkt","とくどみ"
"徳富大橋(1)","ja","徳富大橋(1)"
"徳富大橋(1)","ja-Hrkt","とくどみおおはし"
"味の素東門(1)","ja","味の素東門(1)"
"味の素東門(1)","ja-Hrkt","あじのもとひがしもん"
"諸富橋北(1)","ja","諸富橋北(1)"
"諸富橋北(1)","ja-Hrkt","もろどみばしきた"
"光法北(1)","ja","光法北(1)"
"光法北(1)","ja-Hrkt","みつのりきた"
"光法団地前(1)","ja","光法団地前(1)"
"光法団地前(1)","ja-Hrkt","みつのりだんちまえ"
"増田宿(1)","ja","増田宿(1)"
"増田宿(1)","ja-Hrkt","ますだしゅく"
"江上(1)","ja","江上(1)"
"江上(1)","ja-Hrkt","えがみ"
"北川副公民館前(1)","ja","北川副公民館前(1)"
"北川副公民館前(1)","ja-Hrkt","きたかわそえこうみんかんまえ"
"北川副小西(1)","ja","北川副小西(1)"
"北川副小西(1)","ja-Hrkt","きたかわそえしょうにし"
"中原眼科前(1)","ja","中原眼科前(1)"
"中原眼科前(1)","ja-Hrkt","なかはらがんかまえ"
"武藤(1)","ja","武藤(1)"
"武藤(1)","ja-Hrkt","たけふじ"
"安住団地入口(1)","ja","安住団地入口(1)"
"安住団地入口(1)","ja-Hrkt","あんじゅうだんちいりぐち"
"朝日町(2)","ja","朝日町(2)"
"朝日町(2)","ja-Hrkt","あさひまち"
"水ヶ江(1)","ja","水ヶ江(1)"
"水ヶ江(1)","ja-Hrkt","みずがえ"
"佐賀駅バスセンター(2)","ja","佐賀駅バスセンター(2)"
"佐賀駅バスセンター(2)","ja-Hrkt","さがえきばすせんたー"
"堀江通(2)","ja","堀江通(2)"
"堀江通(2)","ja-Hrkt","ほりえどおり"
"東神野(2)","ja","東神野(2)"
"東神野(2)","ja-Hrkt","ひがしこうの"
"三溝(2)","ja","三溝(2)"
"三溝(2)","ja-Hrkt","みつみぞ"
"商業高校前(2)","ja","商業高校前(2)"
"商業高校前(2)","ja-Hrkt","しょうぎょうこうこうまえ"
"市文化会館前(2)","ja","市文化会館前(2)"
"市文化会館前(2)","ja-Hrkt","しぶんかかいかんまえ"
"総合体育館前(2)","ja","総合体育館前(2)"
"総合体育館前(2)","ja-Hrkt","そうごうたいいくかんまえ"
"館橋(2)","ja","館橋(2)"
"館橋(2)","ja-Hrkt","やかたばし"
"高木瀬小学校前(2)","ja","高木瀬小学校前(2)"
"高木瀬小学校前(2)","ja-Hrkt","たかきせしょうがっこうまえ"
"高木瀬公民館前(3)","ja","高木瀬公民館前(3)"
"高木瀬公民館前(3)","ja-Hrkt","たかきせこうみんかんまえ"
"高木瀬工場団地(2)","ja","高木瀬工場団地(2)"
"高木瀬工場団地(2)","ja-Hrkt","たかきせこうじょうだんち"
"三本松(2)","ja","三本松(2)"
"三本松(2)","ja-Hrkt","さんぼんまつ"
"川原(2)","ja","川原(2)"
"川原(2)","ja-Hrkt","こうら"
"福田(2)","ja","福田(2)"
"福田(2)","ja-Hrkt","ふくた"
"グリコ乳業前(2)","ja","グリコ乳業前(2)"
"グリコ乳業前(2)","ja-Hrkt","ぐりこにゅうぎょうまえ"
"尼寺(2)","ja","尼寺(2)"
"尼寺(2)","ja-Hrkt","にいじ"
"尼寺東(2)","ja","尼寺東(2)"
"尼寺東(2)","ja-Hrkt","にいじひがし"
"真島(1)","ja","真島(1)"
"真島(1)","ja-Hrkt","ましま"
"福島(2)","ja","福島(2)"
"福島(2)","ja-Hrkt","ふくしま"
"西千布(2)","ja","西千布(2)"
"西千布(2)","ja-Hrkt","にしちふ"
"千布(2)","ja","千布(2)"
"千布(2)","ja-Hrkt","ちふ"
"金立団地前(2)","ja","金立団地前(2)"
"金立団地前(2)","ja-Hrkt","きんりゅうだんちまえ"
"整肢学園前(2)","ja","整肢学園前(2)"
"整肢学園前(2)","ja-Hrkt","せいしがくえんまえ"
"金立(2)","ja","金立(2)"
"金立(2)","ja-Hrkt","きんりゅう"
"正現社前(2)","ja","正現社前(2)"
"正現社前(2)","ja-Hrkt","しょうげんしゃまえ"
"来迎寺(2)","ja","来迎寺(2)"
"来迎寺(2)","ja-Hrkt","らいごうじ"
"若宮原(2)","ja","若宮原(2)"
"若宮原(2)","ja-Hrkt","わかみやばる"
"自動車試験場前(2)","ja","自動車試験場前(2)"
"自動車試験場前(2)","ja-Hrkt","じどうしゃしけんじょうまえ"
"運転免許センター","ja","運転免許センター"
"運転免許センター","ja-Hrkt","うんてんめんきょせんたー"
"自動車試験場前(1)","ja","自動車試験場前(1)"
"自動車試験場前(1)","ja-Hrkt","じどうしゃしけんじょうまえ"
"若宮原(1)","ja","若宮原(1)"
"若宮原(1)","ja-Hrkt","わかみやばる"
"来迎寺(1)","ja","来迎寺(1)"
"来迎寺(1)","ja-Hrkt","らいごうじ"
"正現社前(1)","ja","正現社前(1)"
"正現社前(1)","ja-Hrkt","しょうげんしゃまえ"
"金立(1)","ja","金立(1)"
"金立(1)","ja-Hrkt","きんりゅう"
"整肢学園前(1)","ja","整肢学園前(1)"
"整肢学園前(1)","ja-Hrkt","せいしがくえんまえ"
"金立団地前(1)","ja","金立団地前(1)"
"金立団地前(1)","ja-Hrkt","きんりゅうだんちまえ"
"千布(1)","ja","千布(1)"
"千布(1)","ja-Hrkt","ちふ"
"西千布(1)","ja","西千布(1)"
"西千布(1)","ja-Hrkt","にしちふ"
"福島(1)","ja","福島(1)"
"福島(1)","ja-Hrkt","ふくしま"
"尼寺東(1)","ja","尼寺東(1)"
"尼寺東(1)","ja-Hrkt","にいじひがし"
"尼寺(1)","ja","尼寺(1)"
"尼寺(1)","ja-Hrkt","にいじ"
"グリコ乳業前(1)","ja","グリコ乳業前(1)"
"グリコ乳業前(1)","ja-Hrkt","ぐりこにゅうぎょうまえ"
"福田(1)","ja","福田(1)"
"福田(1)","ja-Hrkt","ふくた"
"川原(1)","ja","川原(1)"
"川原(1)","ja-Hrkt","こうら"
"三本松(1)","ja","三本松(1)"
"三本松(1)","ja-Hrkt","さんぼんまつ"
"高木瀬工場団地(1)","ja","高木瀬工場団地(1)"
"高木瀬工場団地(1)","ja-Hrkt","たかきせこうじょうだんち"
"高木瀬公民館前(1)","ja","高木瀬公民館前(1)"
"高木瀬公民館前(1)","ja-Hrkt","たかきせこうみんかんまえ"
"高木瀬小学校前(1)","ja","高木瀬小学校前(1)"
"高木瀬小学校前(1)","ja-Hrkt","たかきせしょうがっこうまえ"
"館橋(1)","ja","館橋(1)"
"館橋(1)","ja-Hrkt","やかたばし"
"総合体育館前(1)","ja","総合体育館前(1)"
"総合体育館前(1)","ja-Hrkt","そうごうたいいくかんまえ"
"市文化会館前(1)","ja","市文化会館前(1)"
"市文化会館前(1)","ja-Hrkt","しぶんかかいかんまえ"
"商業高校前(1)","ja","商業高校前(1)"
"商業高校前(1)","ja-Hrkt","しょうぎょうこうこうまえ"
"三溝(1)","ja","三溝(1)"
"三溝(1)","ja-Hrkt","みつみぞ"
"東神野(1)","ja","東神野(1)"
"東神野(1)","ja-Hrkt","ひがしこうの"
"堀江通(1)","ja","堀江通(1)"
"堀江通(1)","ja-Hrkt","ほりえどおり"
"佐賀駅北口(3)","ja","佐賀駅北口(3)"
"佐賀駅北口(3)","ja-Hrkt","さがえききたぐち"
"開拓入口","ja","開拓入口"
"開拓入口","ja-Hrkt","かいたくいりぐち"
"弘学館前(2)","ja","弘学館前(2)"
"弘学館前(2)","ja-Hrkt","こうがくかんまえ"
"金立いこいの広場(2)","ja","金立いこいの広場(2)"
"金立いこいの広場(2)","ja-Hrkt","きんりゅういこいのひろば"
"島崎(2)","ja","島崎(2)"
"島崎(2)","ja-Hrkt","しまさき"
"島崎(1)","ja","島崎(1)"
"島崎(1)","ja-Hrkt","しまさき"
"金立いこいの広場(1)","ja","金立いこいの広場(1)"
"金立いこいの広場(1)","ja-Hrkt","きんりゅういこいのひろば"
"弘学館前(1)","ja","弘学館前(1)"
"弘学館前(1)","ja-Hrkt","こうがくかんまえ"
"佐賀女子短大・高校前","ja","佐賀女子短大・高校前"
"佐賀女子短大・高校前","ja-Hrkt","さがじょしたんだい・こうこうまえ"
"道祖元町(1)","ja","道祖元町(1)"
"道祖元町(1)","ja-Hrkt","さやのもとまち"
"西田代(1)","ja","西田代(1)"
"西田代(1)","ja-Hrkt","にしたしろ"
"辻の堂(1)","ja","辻の堂(1)"
"辻の堂(1)","ja-Hrkt","つじのどう"
"県警本部前","ja","県警本部前"
"県警本部前","ja-Hrkt","けんけいほんぶまえ"
"旭学園通り南(1)","ja","旭学園通り南(1)"
"旭学園通り南(1)","ja-Hrkt","あさひがくえんどおりみなみ"
"佐賀大学西(1)","ja","佐賀大学西(1)"
"佐賀大学西(1)","ja-Hrkt","さがだいがくにし"
"佐賀大学前(1)","ja","佐賀大学前(1)"
"佐賀大学前(1)","ja-Hrkt","さがだいがくまえ"
"与賀町(1)","ja","与賀町(1)"
"与賀町(1)","ja-Hrkt","よかまち"
"佐賀駅バスセンター(4)","ja","佐賀駅バスセンター(4)"
"佐賀駅バスセンター(4)","ja-Hrkt","さがえきばすせんたー"
"県庁前","ja","県庁前"
"県庁前","ja-Hrkt","けんちょうまえ"
"辻の堂(2)","ja","辻の堂(2)"
"辻の堂(2)","ja-Hrkt","つじのどう"
"与賀町(2)","ja","与賀町(2)"
"与賀町(2)","ja-Hrkt","よかまち"
"佐賀大学前(3)","ja","佐賀大学前(3)"
"佐賀大学前(3)","ja-Hrkt","さがだいがくまえ"
"佐賀大学西(2)","ja","佐賀大学西(2)"
"佐賀大学西(2)","ja-Hrkt","さがだいがくにし"
"旭学園通り南(2)","ja","旭学園通り南(2)"
"旭学園通り南(2)","ja-Hrkt","あさひがくえんどおりみなみ"
"与賀町西","ja","与賀町西"
"与賀町西","ja-Hrkt","よかまちにし"
"西田代(2)","ja","西田代(2)"
"西田代(2)","ja-Hrkt","にしたしろ"
"道祖元町(2)","ja","道祖元町(2)"
"道祖元町(2)","ja-Hrkt","さやのもとまち"
"佐賀城跡","ja","佐賀城跡"
"佐賀城跡","ja-Hrkt","さがじょうあと"
"サガテレビ前(1)","ja","サガテレビ前(1)"
"サガテレビ前(1)","ja-Hrkt","さがてれびまえ"
"県庁舎(1)","ja","県庁舎(1)"
"県庁舎(1)","ja-Hrkt","けんちょうしゃ"
"県庁舎(2)","ja","県庁舎(2)"
"県庁舎(2)","ja-Hrkt","けんちょうしゃ"
"サガテレビ前(2)","ja","サガテレビ前(2)"
"サガテレビ前(2)","ja-Hrkt","さがてれびまえ"
"尼寺東(3)","ja","尼寺東(3)"
"尼寺東(3)","ja-Hrkt","にいじひがし"
"真島(2)","ja","真島(2)"
"真島(2)","ja-Hrkt","ましま"
"どんどんどんの森東(2)","ja","どんどんどんの森東(2)"
"どんどんどんの森東(2)","ja-Hrkt","どんどんどんのもりひがし"
"どんどんどんの森前(2)","ja","どんどんどんの森前(2)"
"どんどんどんの森前(2)","ja-Hrkt","どんどんどんのもりまえ"
"多布施(2)","ja","多布施(2)"
"多布施(2)","ja-Hrkt","たふせ"
"多布施橋(2)","ja","多布施橋(2)"
"多布施橋(2)","ja-Hrkt","たふせばし"
"佐賀工業高校前(2)","ja","佐賀工業高校前(2)"
"佐賀工業高校前(2)","ja-Hrkt","さがこうぎょうこうこうまえ"
"中折(2)","ja","中折(2)"
"中折(2)","ja-Hrkt","なかおれ"
"北高前(2)","ja","北高前(2)"
"北高前(2)","ja-Hrkt","きたこうまえ"
"新栄小前(2)","ja","新栄小前(2)"
"新栄小前(2)","ja-Hrkt","しんえいしょうまえ"
"新栄小西(2)","ja","新栄小西(2)"
"新栄小西(2)","ja-Hrkt","しんえいしょうにし"
"鍋島駅南(2)","ja","鍋島駅南(2)"
"鍋島駅南(2)","ja-Hrkt","なべしまえきみなみ"
"鍋島駅西(2)","ja","鍋島駅西(2)"
"鍋島駅西(2)","ja-Hrkt","なべしまえきにし"
"江頭西(2)","ja","江頭西(2)"
"江頭西(2)","ja-Hrkt","えがしらにし"
"市営江頭団地前","ja","市営江頭団地前"
"市営江頭団地前","ja-Hrkt","しえいえがしらだんちまえ"
"クレオパーク鍋島北(1)","ja","クレオパーク鍋島北(1)"
"クレオパーク鍋島北(1)","ja-Hrkt","くれおぱーくなべしまきた"
"クレオパーク鍋島(1)","ja","クレオパーク鍋島(1)"
"クレオパーク鍋島(1)","ja-Hrkt","くれおぱーくなべしま"
"江頭西(1)","ja","江頭西(1)"
"江頭西(1)","ja-Hrkt","えがしらにし"
"鍋島駅西(1)","ja","鍋島駅西(1)"
"鍋島駅西(1)","ja-Hrkt","なべしまえきにし"
"鍋島駅南(1)","ja","鍋島駅南(1)"
"鍋島駅南(1)","ja-Hrkt","なべしまえきみなみ"
"新栄小西(1)","ja","新栄小西(1)"
"新栄小西(1)","ja-Hrkt","しんえいしょうにし"
"新栄小前(1)","ja","新栄小前(1)"
"新栄小前(1)","ja-Hrkt","しんえいしょうまえ"
"北高前(1)","ja","北高前(1)"
"北高前(1)","ja-Hrkt","きたこうまえ"
"中折(1)","ja","中折(1)"
"中折(1)","ja-Hrkt","なかおれ"
"佐賀工業高校前(1)","ja","佐賀工業高校前(1)"
"佐賀工業高校前(1)","ja-Hrkt","さがこうぎょうこうこうまえ"
"多布施橋(1)","ja","多布施橋(1)"
"多布施橋(1)","ja-Hrkt","たふせばし"
"多布施(1)","ja","多布施(1)"
"多布施(1)","ja-Hrkt","たふせ"
"どんどんどんの森前(1)","ja","どんどんどんの森前(1)"
"どんどんどんの森前(1)","ja-Hrkt","どんどんどんのもりまえ"
"どんどんどんの森東(1)","ja","どんどんどんの森東(1)"
"どんどんどんの森東(1)","ja-Hrkt","どんどんどんのもりひがし"
"堀江通(4)","ja","堀江通(4)"
"堀江通(4)","ja-Hrkt","ほりえどおり"
"駅南本町西(2)","ja","駅南本町西(2)"
"駅南本町西(2)","ja-Hrkt","えきみなみほんまちにし"
"どんどんどんの森東(4)","ja","どんどんどんの森東(4)"
"どんどんどんの森東(4)","ja-Hrkt","どんどんどんのもりひがし"
"新栄団地(2)","ja","新栄団地(2)"
"新栄団地(2)","ja-Hrkt","しんえいだんち"
"八戸溝一丁目(2)","ja","八戸溝一丁目(2)"
"八戸溝一丁目(2)","ja-Hrkt","やえみぞいっちょうめ"
"八戸溝二丁目(2)","ja","八戸溝二丁目(2)"
"八戸溝二丁目(2)","ja-Hrkt","やえみぞにちょうめ"
"西佐賀団地(2)","ja","西佐賀団地(2)"
"西佐賀団地(2)","ja-Hrkt","にしさがだんち"
"鍋島駅北(2)","ja","鍋島駅北(2)"
"鍋島駅北(2)","ja-Hrkt","なべしまえききた"
"江頭","ja","江頭"
"江頭","ja-Hrkt","えがしら"
"深町(2)","ja","深町(2)"
"深町(2)","ja-Hrkt","ふかまち"
"扇町北(2)","ja","扇町北(2)"
"扇町北(2)","ja-Hrkt","おうぎまちきた"
"医療センター好生館","ja","医療センター好生館"
"医療センター好生館","ja-Hrkt","いりょうせんたーこうせいかん"
"扇町北(1)","ja","扇町北(1)"
"扇町北(1)","ja-Hrkt","おうぎまちきた"
"深町(1)","ja","深町(1)"
"深町(1)","ja-Hrkt","ふかまち"
"鍋島駅北(1)","ja","鍋島駅北(1)"
"鍋島駅北(1)","ja-Hrkt","なべしまえききた"
"西佐賀団地(1)","ja","西佐賀団地(1)"
"西佐賀団地(1)","ja-Hrkt","にしさがだんち"
